Company,BBG ticker,Date,Reason,Type,Industry,MarketCapUSD,1M_TR,3M_TR,6M_TR,12M_TR,24M_TR,1M_SXXP,3M_SXXP,6M_SXXP,12M_SXXP,24M_SXXP,1M_ALPHA,3M_ALPHA,6M_ALPHA,12M_ALPHA,24M_ALPHA
CareTech Holdings PLC (AIM:CTH),CTH LN,14-Jun-12,Not explained,Big4 to non-Big4,"Consumer, Non-cyclical",#N/A N/A,0.111,0.143,0.184,0.217,1.053,0.062,0.148,0.167,0.247,0.535,0.049,-0.004,0.016,-0.03,0.518
Frontier Developments plc (AIM:FDEV),FDEV LN,30-Oct-19,Not explained,Non-Big4 to Big4,Technology,541,,,,,,,,,,,,,,,
Highland Gold Mining Limited (AIM:HGM),HGM LN,18-Jun-12,Not explained,Big4 to Big4,Basic Materials,948,0.095,0.256,-0.023,-0.24,-0.211,0.061,0.126,0.159,0.242,0.515,0.034,0.13,-0.182,-0.481,-0.726
IQE plc (AIM:IQE),IQE LN,12-Feb-18,Tender,Big4 to Big4,Technology,749,0.348,0.181,0.017,-0.384,,0.02,0.07,0.062,0.007,,0.328,0.111,-0.045,-0.39,
Alpha Bank A.E. (ATSE:ALPHA),ALPHA GA,30-Jun-17,Not explained,Big4 to Big4,Financial,2774,-0.023,-0.227,-0.173,-0.113,-0.185,-0.002,0.028,0.034,0.035,0.087,-0.021,-0.254,-0.207,-0.149,-0.272
Alpha Bank A.E. (ATSE:ALPHA),ALPHA GA,23-Jun-10,Not explained,Big4 to Big4,Financial,5068,0.146,0.043,-0.08,-0.276,-0.715,0.007,0.031,0.117,0.075,0.044,0.139,0.013,-0.197,-0.351,-0.759
National Bank of Greece S.A. (ATSE:ETE),ETE GA,05-Jul-17,Not explained,Big4 to Big4,Financial,2358,0.045,-0.215,-0.096,-0.238,-0.299,0,0.025,0.046,0.03,0.092,0.045,-0.24,-0.142,-0.268,-0.391
National Bank of Greece S.A. (ATSE:ETE),ETE GA,21-May-10,Not explained,Big4 to Big4,Financial,15746,-0.032,-0.034,-0.207,-0.477,-0.859,0.094,0.072,0.151,0.22,0.091,-0.126,-0.106,-0.358,-0.697,-0.95
Eurobank Ergasias S.A. (ATSE:EUROB),EUROB GA,10-Jul-18,Tender,Big4 to Big4,Financial,2065,-0.044,-0.42,-0.368,-0.029,,0.001,-0.046,-0.089,0.039,,-0.045,-0.374,-0.28,-0.069,
Hellenic Telecommunications Organization S.A. (ATSE:HTO),HTO GA,23-Jun-11,Not explained,Big4 to Big4,Communications,5481,-0.022,-0.479,-0.562,-0.649,-0.084,0.03,-0.177,-0.075,-0.029,0.144,-0.053,-0.301,-0.488,-0.62,-0.228
Davide Campari-Milano S.p.A. (BIT:CPR),CPR IM,19-Dec-17,Mandatory rotation,Big4 to Big4,"Consumer, Non-cyclical",8161,-0.025,-0.061,0.084,0.199,,0.026,-0.039,0.005,-0.097,,-0.051,-0.022,0.08,0.296,
Enel SpA (BIT:ENEL),ENEL IM,02-May-11,Not explained,Big4 to Big4,Utilities,47006,-0.015,-0.16,-0.294,-0.463,-0.296,-0.022,-0.082,-0.148,-0.057,0.134,0.007,-0.078,-0.147,-0.406,-0.431
Recordati Industria Chimica e Farmaceutica S.p.A. (BIT:REC),REC IM,13-Apr-11,Not explained,Big4 to Big4,"Consumer, Non-cyclical",#N/A N/A,0.075,0.072,-0.047,-0.17,0.169,0.019,-0.012,-0.129,-0.053,0.135,0.057,0.084,0.083,-0.116,0.034
