Ticker,AuditorYears,Auditor,Opinion,ISSscore
ENX FP Equity,2,ERNST & YOUNG LLP,Unqualified,1
PSPN SE Equity,2,ERNST & YOUNG,Unqualified,1
BOL SS Equity,#N/A N/A,DELOITTE,Unqualified,1
BHP LN Equity,17,KPMG LLP,Unqualified,1
AGK LN Equity,#N/A N/A,KPMG LLP,Unqualified,1
TGS NO Equity,#N/A N/A,KPMG,Unqualified,1
MOR GY Equity,8,PRICEWATERHOUSE COOPERS,Unqualified,1
NDA SS Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Not audited,3
WIE AV Equity,2,DELOITTE WIRTSCHAFTSPRUPFUNGS,Unqualified,1
KPN NA Equity,4,ERNST & YOUNG,Not audited,1
NEM GY Equity,#N/A N/A,ERNST & YOUNG,Unqualified,5
CARLB DC Equity,2,PRICEWATERHOUSE COOPERS,Unqualified,1
GETIB SS Equity,11,OHRLINGS PRICEWATERHOUSECOOPEE,Unqualified,1
RIO LN Equity,24,PRICEWATERHOUSE COOPERS LLP,Unqualified,10
MOWI NO Equity,#N/A N/A,ERNST & YOUNG,Unqualified,10
AGN NA Equity,#N/A N/A,PWC,Unqualified,1
AAL LN Equity,20,Deloitte LLP,Unqualified,1
AMUN FP Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,5
PKN PW Equity,#N/A N/A,DELOITTE,Unqualified,#N/A N/A
BBVA SQ Equity,#N/A N/A,KPMG,Unqualified,1
SPSN SE Equity,20,KPMG AG,Unqualified,1
AFX GY Equity,#N/A N/A,Ernst & Young GmbH Wirtschafts,Unqualified,1
SAN SQ Equity,#N/A N/A,PWC,Unqualified,1
SPIE FP Equity,8,PRICEWATERHOUSE COOPERS,Unqualified,1
ACKB BB Equity,18,ERNST & YOUNG,Unqualified,1
ELE SQ Equity,#N/A N/A,ERNST & YOUNG,Unqualified,1
PHIA NA Equity,3,ERNST & YOUNG LLP,Unqualified,1
GJF NO Equity,2,DELOITTE AS,Unqualified,1
UTG LN Equity,4,Deloitte LLP,Unqualified,1
HPOLB SS Equity,17,ERNST & YOUNG,Unqualified,1
PZU PW Equity,#N/A N/A,KPMG,Unqualified,#N/A N/A
REP SQ Equity,#N/A N/A,PWC,Unqualified,1
ATE FP Equity,#N/A N/A,KPMG AUDIT,Unqualified,1
TEF SQ Equity,#N/A N/A,PWC,Unqualified,1
ITRK LN Equity,3,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
FP FP Equity,#N/A N/A,KPMG AUDIT,Unqualified,1
ALLN SE Equity,#N/A N/A,ERNST & YOUNG,Unqualified,#N/A N/A
EMG LN Equity,5,PRICEWATERHOUSECOOPERS LLP,Unqualified,#N/A N/A
AI FP Equity,#N/A N/A,ERNST & YOUNG ET AUTRES,Unqualified,1
BC8 GY Equity,#N/A N/A,ERNST & YOUNG,Unqualified,5
CS FP Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,1
BNP FP Equity,#N/A N/A,DELOITTE & ASSOC,Unqualified,1
BN FP Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,1
HL/ LN Equity,6,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
CAP FP Equity,17,KPMG AUDIT,Unqualified,1
PGN PW Equity,#N/A N/A,DELOITTE,Unqualified,#N/A N/A
CA FP Equity,#N/A N/A,DELOITTE,Unqualified,1
WG/ LN Equity,2,KPMG LLP,Unqualified,1
DWNI GY Equity,#N/A N/A,KPMG AG,Unqualified,1
